"run.ID","associated.phenotype","s__Fusobacterium nucleatum spp","s__Parvimonas micra","s__Peptostreptococcus stomatis","count_positive"
"ERR2726404","D006262",0,0,0,"0"
"ERR2726405","D006262",0,0,0,"0"
"ERR2726406","D006262",0,0,0,"0"
"ERR2726407","D006262",0,0,0,"0"
"ERR2726408","D006262",0,0,0,"0"
"ERR2726409","D006262",0,0,0,"0"
"ERR2726410","D015179",0,0.000164607085645343,7.63261905506337e-05,"2"
"ERR2726411","D015179",0.000997228481881524,0.0113321418395628,0,"2"
"ERR2726412","D015179",0.00092563304310187,0.0112024905522167,0,"2"
"ERR2726413","D015179",0.000925114668638444,0.0110861825345778,0,"2"
"ERR2726414","D015179",0.000920982522504084,0.0109900385683485,0,"2"
"ERR2726415","D015179",0,0.000237669285350065,0,"1"
"ERR2726416","D015179",0,0,0,"0"
"ERR2726417","D015179",0,0.000234320247612596,0,"1"
"ERR2726418","D015179",0,0,0,"0"
"ERR2726419","D006262",0,0,0,"0"
"ERR2726420","D006262",0,0,0,"0"
"ERR2726421","D006262",0,0,0,"0"
"ERR2726422","D006262",0,0,0,"0"
"ERR2726423","D015179",0,0,0,"0"
"ERR2726424","D015179",0,0,0,"0"
"ERR2726425","D015179",0,0,0,"0"
"ERR2726426","D015179",0,0,0,"0"
"ERR2726427","D006262",0,0,0,"0"
"ERR2726428","D006262",0,0,0,"0"
"ERR2726429","D006262",0,0,0,"0"
"ERR2726430","D006262",0,0,0,"0"
"ERR2726431","D006262",0,0,0,"0"
"ERR2726432","D006262",0,0,0,"0"
"ERR2726433","D006262",0,0,0,"0"
"ERR2726434","D006262",0,0,0,"0"
"ERR2726435","D006262",0,0,0,"0"
"ERR2726436","D006262",0,0,0,"0"
"ERR2726437","D015179",0,0.000289003512062547,0.00016651195728107,"2"
"ERR2726438","D015179",0,0.000271917431680745,0.00019901203333156,"2"
"ERR2726439","D015179",0,0.000267258303184894,0.000206339131135396,"2"
"ERR2726440","D015179",0,0.000247209621398465,0.000148325772839079,"2"
"ERR2726441","D006262",0,0,0,"0"
"ERR2726442","D006262",0,0,0,"0"
"ERR2726443","D006262",0,0,0,"0"
"ERR2726444","D006262",0,0,0,"0"
"ERR2726445","D006262",0,0,0,"0"
"ERR2726446","D006262",0,0,0,"0"
"ERR2726447","D006262",0,0,0,"0"
"ERR2726448","D015179",0.000449564582963081,0.00011692186813084,0.0012943250802084,"3"
"ERR2726449","D006262",0,0,0,"0"
"ERR2726450","D006262",0,0,0,"0"
"ERR2726451","D006262",0,0,0,"0"
"ERR2726452","D006262",0,0,0,"0"
"ERR2726453","D015179",0,0,0,"0"
"ERR2726454","D015179",0,0,0,"0"
"ERR2726455","D015179",0,0,0,"0"
"ERR2726456","D015179",0,0,0,"0"
"ERR2726457","D006262",0,0,0,"0"
"ERR2726458","D006262",0,0,0,"0"
"ERR2726459","D006262",0,0,0,"0"
"ERR2726460","D006262",0,0,0,"0"
"ERR2726461","D006262",0,0,0,"0"
"ERR2726462","D006262",0,0,0,"0"
"ERR2726463","D015179",0,0,0,"0"
"ERR2726464","D015179",0,0,0,"0"
"ERR2726465","D015179",0,0,0,"0"
"ERR2726466","D015179",0,0,0,"0"
"ERR2726467","D015179",0,0,0,"0"
"ERR2726468","D015179",0,0,0,"0"
"ERR2726469","D015179",0,0,0,"0"
"ERR2726470","D015179",0,0,0,"0"
"ERR2726471","D006262",0,0,0,"0"
"ERR2726472","D006262",0,0,0,"0"
"ERR2726473","D006262",0,0,0,"0"
"ERR2726474","D006262",0,0,0,"0"
"ERR2726475","D006262",0,0,0,"0"
"ERR2726476","D015179",0,0,0,"0"
"ERR2726477","D015179",0,0,0,"0"
"ERR2726478","D015179",0,0,0,"0"
"ERR2726479","D015179",0,0,0,"0"
"ERR2726480","D015179",0,0,0,"0"
"ERR2726481","D015179",0,0,0,"0"
"ERR2726482","D015179",0,0,0,"0"
"ERR2726483","D015179",0,0,0,"0"
"ERR2726484","D015179",0,8.34382561591964e-05,0,"1"
"ERR2726485","D006262",0,0,0,"0"
"ERR2726486","D006262",0,0,0,"0"
"ERR2726487","D006262",0,0,0,"0"
"ERR2726488","D015179",0,0,0,"0"
"ERR2726489","D015179",0,0.00792122372386603,0.00911537805409709,"2"
"ERR2726490","D015179",0,0.00784010257069889,0.00940853801485035,"2"
"ERR2726491","D015179",0,0.00795502005500351,0.0093793587126973,"2"
"ERR2726492","D015179",0,0.00775140948803924,0.00944548085802649,"2"
"ERR2726493","D006262",0,0,0,"0"
"ERR2726494","D015179",0,0,0,"0"
"ERR2726495","D015179",0,0,0,"0"
"ERR2726496","D015179",0,0,0,"0"
"ERR2726497","D015179",0,0,0,"0"
"ERR2726498","D006262",0,0,0,"0"
"ERR2726499","D006262",0,0,0,"0"
"ERR2726500","D006262",0,0,0,"0"
"ERR2726501","D015179",0,0,0,"0"
"ERR2726502","D006262",0,0,0,"0"
"ERR2726503","D015179",0,0,0,"0"
"ERR2726504","D006262",0,0,0,"0"
"ERR2726505","D006262",0,0,0,"0"
"ERR2726506","D006262",0,0,0,"0"
"ERR2726507","D015179",0,0,0,"0"
"ERR2726508","D015179",0,0,0,"0"
"ERR2726509","D015179",0,0,0,"0"
"ERR2726510","D015179",0,0,0,"0"
"ERR2726511","D006262",0,0,0,"0"
"ERR2726512","D006262",0,0,0,"0"
"ERR2726513","D015179",0,0,0,"0"
"ERR2726514","D015179",0,0,0,"0"
"ERR2726515","D015179",0,0,0,"0"
"ERR2726516","D015179",0,0,0,"0"
"ERR2726517","D006262",0,0,0,"0"
"ERR2726518","D015179",0,0.000531158552477475,0,"1"
"ERR2726519","D015179",0,0.000641259903328346,0,"1"
"ERR2726520","D015179",0,0.000485627170146417,0,"1"
"ERR2726521","D015179",0,0.000554971163263085,0,"1"
"ERR2726522","D015179",0,0.000169983787567788,0,"1"
"ERR2726523","D015179",0,0.000167840917326905,0,"1"
"ERR2726524","D015179",0,0.000219098046375753,0,"1"
"ERR2726525","D015179",0,0.000148868199338542,0,"1"
"ERR2726526","D006262",0,0,0,"0"
"ERR2726527","D015179",0,0,0,"0"
"ERR2726528","D015179",0,0,0,"0"
"ERR2726529","D015179",0,0,0,"0"
"ERR2726530","D015179",0,0,0,"0"
"ERR2726531","D006262",0,0,0,"0"
"ERR2726532","D006262",0,0,0,"0"
"ERR2726533","D006262",0,0,0,"0"
"ERR2726534","D006262",0,0,0,"0"
"ERR2726535","D006262",0,0,0,"0"
"ERR2726536","D006262",0,0,0,"0"
"ERR2726537","D006262",0,0,0,"0"
"ERR2726538","D006262",0,0,0,"0"
"ERR2726539","D006262",0,0,0,"0"
"ERR2726540","D015179",0,0,0,"0"
"ERR2726541","D015179",0,0.0152372380095152,0,"1"
"ERR2726542","D015179",0,0.0135393160909564,0,"1"
"ERR2726543","D015179",0,0.0144730623818526,0,"1"
"ERR2726544","D015179",0,0.016,0,"1"
"ERR2726545","D015179",0,0,0,"0"
"ERR2726546","D015179",0,0,0,"0"
"ERR2726547","D015179",0,0,0,"0"
"ERR2726548","D015179",0,0,0,"0"
"ERR2726549","D006262",0,0,0,"0"
"ERR2726550","D006262",0,0,0,"0"
"ERR2726551","D006262",0,0,0,"0"
"ERR2726552","D006262",0,0,0,"0"
"ERR2726553","D015179",0,0,0,"0"
"ERR2726554","D015179",0,0,0,"0"
"ERR2726555","D015179",0,0,0,"0"
"ERR2726556","D015179",0,0,0,"0"
"ERR2726557","D006262",0,0,0,"0"
"ERR2726558","D006262",0,0,0,"0"
"ERR2726559","D006262",0,0,0,"0"
"ERR2726560","D006262",0,0,0,"0"
"ERR2726561","D006262",0,0,0,"0"
"ERR2726562","D006262",0,0,0,"0"
"ERR2726563","D006262",0,0,0,"0"
"ERR2726564","D006262",0,0,0,"0"
"ERR2726565","D006262",0,0,0,"0"
"ERR2726566","D006262",0,0,0,"0"
"ERR2726567","D015179",0,0,0,"0"
"ERR2726568","D015179",0,0,0,"0"
"ERR2726569","D015179",0,0,0,"0"
"ERR2726570","D015179",0,0,0,"0"
"ERR2726571","D006262",0,0,0,"0"
"ERR2726572","D006262",0,0,0,"0"
"ERR2726573","D006262",0,0,0,"0"
"ERR2726574","D006262",0,0,0,"0"
"ERR2726575","D006262",0,0,0,"0"
"ERR2726576","D006262",0,0,0,"0"
"ERR2726577","D006262",0,0,0,"0"
"ERR2726578","D015179",0,0,0.00126832221149273,"1"
"ERR2726579","D006262",0,0,0,"0"
"ERR2726580","D006262",0,0,0,"0"
"ERR2726581","D006262",0,0,0,"0"
"ERR2726582","D006262",0,0,0,"0"
"ERR2726583","D015179",0,0,0,"0"
"ERR2726584","D015179",0,0,0,"0"
"ERR2726585","D015179",0,0,0,"0"
"ERR2726586","D015179",0,0,0,"0"
"ERR2726587","D006262",0,0,0,"0"
"ERR2726588","D006262",0,0,0,"0"
"ERR2726589","D006262",0,0,0,"0"
"ERR2726590","D006262",0,0,0,"0"
"ERR2726591","D006262",0,0,0,"0"
"ERR2726592","D006262",0,0,0,"0"
"ERR2726593","D015179",0,0,0,"0"
"ERR2726594","D015179",0,0,0,"0"
"ERR2726595","D015179",0,0,0,"0"
"ERR2726596","D015179",0,0,0,"0"
"ERR2726597","D015179",0,0,0,"0"
"ERR2726598","D015179",0,0,0,"0"
"ERR2726599","D015179",0,0,0,"0"
"ERR2726600","D015179",0,0,0,"0"
"ERR2726601","D006262",0,0,0,"0"
"ERR2726602","D006262",0,0,0,"0"
"ERR2726603","D006262",0,0,0,"0"
"ERR2726604","D006262",0,0,0,"0"
"ERR2726605","D006262",0,0,0,"0"
"ERR2726606","D015179",0,0,0,"0"
"ERR2726607","D015179",0,0,0,"0"
"ERR2726608","D015179",0,0,0,"0"
"ERR2726609","D015179",0,0,0,"0"
"ERR2726610","D015179",0,0,0,"0"
"ERR2726611","D015179",0,0,0,"0"
"ERR2726612","D015179",0,0,0,"0"
"ERR2726613","D015179",0,0,0,"0"
"ERR2726614","D015179",0,0,0,"0"
"ERR2726615","D006262",0,0,0,"0"
"ERR2726616","D006262",0,0,0,"0"
"ERR2726617","D006262",0,0,0,"0"
"ERR2726618","D015179",0,0,0,"0"
"ERR2726619","D015179",0,0.0093257483913084,0.0101650657465262,"2"
"ERR2726620","D015179",0,0.0103557708368131,0.0109821279438784,"2"
"ERR2726621","D015179",0,0.0107640727016058,0.0104552673372155,"2"
"ERR2726622","D015179",0,0.00967305905212469,0.010179944242629,"2"
"ERR2726623","D006262",0,0,0,"0"
"ERR2726624","D015179",0,0,0,"0"
"ERR2726625","D015179",0,0,0,"0"
"ERR2726626","D015179",0,0,0,"0"
"ERR2726627","D015179",0,0,0,"0"
"ERR2726628","D006262",0,0,0,"0"
"ERR2726629","D006262",0,0,0,"0"
"ERR2726630","D006262",0,0,0,"0"
"ERR2726631","D015179",0,0,0,"0"
"ERR2726632","D006262",0,0,0,"0"
"ERR2726633","D015179",0,0,0,"0"
"ERR2726634","D006262",0,0,0,"0"
"ERR2726635","D006262",0,0,0,"0"
"ERR2726636","D006262",0,0,0,"0"
"ERR2726637","D015179",0,0,0,"0"
"ERR2726638","D015179",0,0,0,"0"
"ERR2726639","D015179",0,0,0,"0"
"ERR2726640","D015179",0,0,0,"0"
"ERR2726641","D006262",0,0,0,"0"
"ERR2726642","D006262",0,0,0,"0"
"ERR2726643","D015179",0,0,0,"0"
"ERR2726644","D015179",0,0,0,"0"
"ERR2726645","D015179",0,0,0,"0"
"ERR2726646","D015179",0,0,0,"0"
"ERR2726647","D006262",0,0,0,"0"
"ERR2726648","D015179",0,0,0,"0"
"ERR2726649","D015179",0,0,0,"0"
"ERR2726650","D015179",0,0,0,"0"
"ERR2726651","D015179",0,0,0,"0"
"ERR2726652","D015179",0,0,0,"0"
"ERR2726653","D015179",0,0,0,"0"
"ERR2726654","D015179",0,0,0,"0"
"ERR2726655","D015179",0,0,0,"0"
"ERR2726656","D006262",0,0,0,"0"
"ERR2726657","D015179",0,0,0,"0"
"ERR2726658","D015179",0,0,0,"0"
"ERR2726659","D015179",0,0,0,"0"
"ERR2726660","D015179",0,0,0,"0"
"ERR2726661","D006262",0,0,0,"0"
"ERR2726662","D006262",0,0,0,"0"
"ERR2726663","D006262",0,0,0,"0"
